ROUTE_ID,MEASURE,DISTANCE,ELEV,LATITUDE,LONGITUDE
4,4267.074443,-0.383717,1425.704834,38.589028,-109.542552
4,4272.017134,-0.167292,1425.516602,38.589061,-109.542591
4,4188.582276,1.089156,1415.925293,38.589049,-109.541791
3,2594.636456,-0.83821,1388.39917,38.588893,-109.532522
3,2594.636456,-0.83821,1388.39917,38.588893,-109.532522
3,2594.643086,-0.839174,1388.39917,38.588893,-109.532522
3,2594.643086,-0.839174,1388.39917,38.588893,-109.532522
4,4277.003951,-0.104575,1425.377686,38.58909,-109.542635
4,4183.476791,1.122069,1415.577637,38.589092,-109.541774
4,4157.167283,0.555982,1415.858887,38.58909,-109.54154
3,2599.524115,-0.716475,1387.78418,38.588936,-109.532536
3,2599.524115,-0.716475,1387.78418,38.588936,-109.532536
3,2599.529494,-0.718031,1387.78418,38.588936,-109.532536
3,2599.529494,-0.718031,1387.78418,38.588936,-109.532536
4,4152.5337,0.948985,1416.034912,38.589093,-109.541483
4,4282.006873,-0.140671,1424.866943,38.589119,-109.542678
4,4162.026857,0.178766,1415.770508,38.589104,-109.541595
4,4167.009488,0.047146,1415.829346,38.589126,-109.541644
4,4148.61826,1.06804,1415.634277,38.589125,-109.541448
4,4178.045582,1.156038,1416.005981,38.589132,-109.541748
4,4287.008471,-0.166113,1424.587769,38.589149,-109.542721
3,2604.444763,-0.585163,1387.668945,38.588978,-109.532557
3,2604.444763,-0.585163,1387.668945,38.588978,-109.532557
3,2604.4556,-0.587686,1387.668945,38.588978,-109.532557
3,2604.4556,-0.587686,1387.668945,38.588978,-109.532557
4,4172.076732,0.436944,1416.224121,38.589145,-109.541696
4,4292.015506,-0.198942,1424.045532,38.58918,-109.542762
3,2609.288458,-0.254432,1387.046631,38.589014,-109.532592
3,2609.297556,-0.250929,1387.046631,38.589014,-109.532592
4,4144.101736,0.601012,1416.371948,38.589169,-109.541457
4,4297.017982,-0.208381,1423.276001,38.589212,-109.542803
3,2614.266507,-0.105193,1386.194824,38.589044,-109.532634
3,2614.269341,-0.10856,1386.194824,38.589044,-109.532634
4,4139.321848,0.125649,1417.22168,38.589202,-109.541495
4,4302.015861,-0.197296,1423.001953,38.589244,-109.542843
3,2619.264286,-0.148331,1386.070313,38.589073,-109.532678
3,2619.274524,-0.146762,1386.11499,38.589073,-109.532678
4,4134.32988,-0.03663,1417.945557,38.589227,-109.541543
4,4307.005353,-0.132471,1422.299316,38.589275,-109.542885
4,4129.331524,0.040743,1418.398315,38.589253,-109.54159
3,2624.294726,-0.313975,1385.684082,38.589107,-109.532716
3,2624.304546,-0.310964,1385.684082,38.589107,-109.532716
4,4311.997519,-0.088865,1421.838623,38.589303,-109.54293
4,4124.330083,0.120028,1419.04895,38.589281,-109.541634
3,2629.362335,-0.496691,1386.205078,38.589144,-109.532748
3,2629.37163,-0.492006,1386.205078,38.589144,-109.532748
4,4316.994384,-0.064508,1421.241211,38.589331,-109.542975
4,4119.293584,0.327391,1419.562988,38.589314,-109.541674
4,4321.99478,-0.002098,1420.965332,38.589358,-109.543021
3,2634.4134,-0.579516,1386.627441,38.589184,-109.532775
3,2634.419474,-0.58235,1386.627441,38.589184,-109.532775
4,4114.274222,0.378355,1420.406006,38.58935,-109.541709
4,4326.995343,0.042932,1421.398682,38.589383,-109.543069
3,2639.424812,-0.618171,1387.364014,38.589225,-109.532798
3,2639.434447,-0.61299,1387.364014,38.589225,-109.532798
4,4332.002561,0.106722,1421.952271,38.589405,-109.543119
4,4109.279232,0.342797,1420.488525,38.589386,-109.541743
4,4337.006034,0.151615,1422.313232,38.589426,-109.543169
4,4104.294154,0.302431,1421.190674,38.58942,-109.54178
3,2644.479678,-0.689086,1388.277588,38.589267,-109.532818
3,2644.486955,-0.691606,1388.277588,38.589267,-109.532818
4,4342.002435,0.143002,1422.464355,38.589447,-109.54322
4,4346.994069,0.124381,1422.411133,38.589469,-109.543271
4,4099.300341,0.302533,1421.92627,38.589454,-109.541817
4,4352.014872,0.248459,1422.506226,38.589487,-109.543323
3,2649.620564,-0.843721,1388.88562,38.589311,-109.532831
3,2649.627097,-0.844672,1388.88562,38.589311,-109.532831
4,4357.023705,0.273949,1422.796021,38.589503,-109.543376
4,4094.292361,0.320263,1422.061768,38.589489,-109.541854
4,4361.993989,0.105843,1423.117554,38.589523,-109.543428
3,2654.770288,-0.966577,1389.084961,38.589356,-109.532833
3,2654.776988,-0.966538,1389.084961,38.589356,-109.532833
4,4367.004678,0.1615,1423.353516,38.589544,-109.543479
4,4089.272144,0.418036,1421.666992,38.589525,-109.541889
4,4371.9915,0.097917,1424.069092,38.589566,-109.543529
4,4377.013954,0.267213,1424.968994,38.589585,-109.543581
3,2659.809976,-0.986878,1389.49231,38.589401,-109.53283
3,2659.817768,-0.986525,1389.49231,38.589401,-109.53283
4,4084.125049,0.708456,1421.566162,38.589566,-109.541911
4,4382.005502,0.182514,1426.317139,38.589602,-109.543634
4,4387.008995,0.19991,1426.844238,38.589622,-109.543685
3,2664.395821,-0.498107,1388.827637,38.589444,-109.532845
3,2664.405731,-0.49329,1388.827637,38.589444,-109.532845
4,4392.009948,0.205963,1427.583862,38.58964,-109.543738
4,4079.043763,0.779073,1421.871338,38.58961,-109.541925
4,4397.004559,0.178655,1428.989258,38.58966,-109.543789
3,2669.268231,-0.123355,1387.340576,38.589475,-109.532886
3,2669.268231,-0.123355,1387.340576,38.589475,-109.532886
3,2669.271957,-0.127536,1387.340576,38.589475,-109.532886
3,2669.271957,-0.127536,1387.340576,38.589475,-109.532886
4,4402.000441,0.172014,1429.608276,38.58968,-109.543841
4,4074.039075,0.778193,1421.573364,38.589654,-109.541939
3,2674.2606,0.136189,1385.111084,38.589501,-109.532933
3,2674.2606,0.136189,1385.111084,38.589501,-109.532933
3,2674.266989,0.137726,1385.111084,38.589501,-109.532933
3,2674.266989,0.137726,1385.111084,38.589501,-109.532933
4,4432.162801,0.618671,1433.591064,38.589697,-109.544172
4,4427.3557,0.831412,1432.178711,38.589698,-109.544115
4,4427.3557,0.831412,1432.178711,38.589698,-109.544115
4,4437.080558,0.451679,1435.441772,38.589702,-109.544229
4,4407.003299,0.198884,1430.269775,38.589699,-109.543893
